timestamp,value,Outliers,Score
2022-01-01,67.50312500000001,-1,-0.010891229868076335
2022-01-02,66.14548611111111,1,0.12820974984147382
2022-01-03,64.03506944444445,1,0.04038364298004604
2022-01-04,65.35902777777778,1,0.05319910129110639
2022-01-05,64.98958333333333,1,0.0649133840103926
2022-01-06,66.28645833333333,1,0.12814988217151563
2022-01-07,67.18263888888889,1,0.08543582819146955
2022-01-08,56.19097222222222,-1,-0.1441259542726241
2022-01-09,58.62951388888889,-1,-0.022879301230316895
2022-01-10,61.3138888888889,1,0.14092940578904717
2022-01-11,59.727777777777774,1,0.11185027002275616
2022-01-12,63.05416666666666,1,0.06162345467213759
2022-01-13,66.26145833333334,1,0.12992933307080368
2022-01-14,67.08819444444445,1,0.08369040132879912
2022-01-15,65.25590277777778,1,0.05529557886842551
2022-01-16,60.26909722222222,1,0.14691330498219723
2022-01-17,60.05972222222223,1,0.14743490630952844
2022-01-18,60.74236111111111,1,0.16397698675679617
2022-01-19,63.41006944444444,1,0.04994413045174784
2022-01-20,66.58472222222223,1,0.11255913241381571
2022-01-21,67.29861111111111,1,0.059246256093774874
2022-01-22,59.96527777777778,1,0.14897759897993756
2022-01-23,61.30034722222222,1,0.13888880437119228
2022-01-24,60.64930555555556,1,0.15696484594104348
2022-01-25,59.70659722222222,1,0.11060445168819721
2022-01-26,63.6704861111111,1,0.04981293472441117
2022-01-27,66.19513888888889,1,0.1294065792211479
2022-01-28,66.98159722222222,1,0.08383399822913185
2022-01-29,61.50972222222222,1,0.1022734028026851
2022-01-30,60.03854166666666,1,0.14941002378814605
2022-01-31,59.27291666666666,1,0.04749333794296051
2022-02-01,60.40416666666667,1,0.14215169705039005
2022-02-02,60.888888888888886,1,0.1691640533192943
2022-02-03,66.103125,1,0.106487937343545
2022-02-04,67.21006944444444,1,0.08023241474011555
2022-02-05,61.31979166666666,1,0.1384901014227738
2022-02-06,58.8451388888889,1,0.00121013665200842
2022-02-07,60.596180555555556,1,0.15569387790908001
2022-02-08,60.925000000000004,1,0.16890705387855998
2022-02-09,62.86944444444445,1,0.06167369594424554
2022-02-10,66.13333333333334,1,0.1242946557879559
2022-02-11,66.89965277777777,1,0.08920821771625798
2022-02-12,61.190625000000004,1,0.13283796646738738
2022-02-13,60.700694444444444,1,0.16274576484966863
2022-02-14,61.7357638888889,1,0.06785194473054501
2022-02-15,60.27118055555555,1,0.14691330498219723
2022-02-16,64.67569444444445,1,0.04366102440554276
2022-02-17,66.55902777777777,1,0.11485306442403947
2022-02-18,66.75694444444444,1,0.08972393986025973
2022-02-19,66.45486111111111,1,0.12030921334070172
2022-02-20,60.89340277777777,1,0.16988918072159964
2022-02-21,59.974999999999994,1,0.1500432562168652
2022-02-22,62.65138888888888,1,0.054351339572940804
2022-02-23,64.95520833333333,1,0.06342214473292385
2022-02-24,66.41006944444445,1,0.12202188250648938
2022-02-25,67.34375,1,0.04365426885399204
2022-02-26,59.47881944444445,1,0.07962696525163027
2022-02-27,61.05763888888888,1,0.1441907977484539
2022-02-28,60.92673611111112,1,0.1673507717428051
